question,answer,category,article_reference,source,year_passed
Is discrimination based on ethnicity prohibited? (variation 24),"Yes, all forms of discrimination based on ethnicity, tribe, or region are prohibited by Article 2 of the Constitution.",Civil Rights,Article 2,Cameroon Constitution / National Laws,1996
Is discrimination based on ethnicity prohibited? (variation 25),"Yes, all forms of discrimination based on ethnicity, tribe, or region are prohibited by Article 2 of the Constitution.",Civil Rights,Article 2,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 26),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 27),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 28),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 29),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 30),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 31),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 32),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 33),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 34),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 35),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Is discrimination based on ethnicity prohibited? (variation 36),"Yes, all forms of discrimination based on ethnicity, tribe, or region are prohibited by Article 2 of the Constitution.",Civil Rights,Article 2,Cameroon Constitution / National Laws,1996
Is discrimination based on ethnicity prohibited? (variation 37),"Yes, all forms of discrimination based on ethnicity, tribe, or region are prohibited by Article 2 of the Constitution.",Civil Rights,Article 2,Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 38),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
Is discrimination based on ethnicity prohibited? (variation 39),"Yes, all forms of discrimination based on ethnicity, tribe, or region are prohibited by Article 2 of the Constitution.",Civil Rights,Article 2,Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 40),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 41),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 42),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 43),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 44),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 45),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
What are my rights during police arrest? (variation 46),"Every individual has the right to remain silent, access legal counsel, and be charged or released within 48 hours as per Article 18.",Civil Rights,Article 18.,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 47),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Is discrimination based on ethnicity prohibited? (variation 48),"Yes, all forms of discrimination based on ethnicity, tribe, or region are prohibited by Article 2 of the Constitution.",Civil Rights,Article 2,Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 49),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
Can I protest peacefully in Cameroon? (variation 50),"Yes, peaceful assembly is a constitutional right under Article 20, but requires administrative authorization.",Civil Rights,"Article 20,",Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 1),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 2),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 3),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 4),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 5),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 6),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 7),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 8),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 9),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 10),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 11),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 12),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 13),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 14),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 15),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 16),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 17),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 18),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 19),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 20),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 21),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 22),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 23),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 24),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 25),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 26),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 27),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 28),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 29),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 30),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 31),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 32),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 33),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 34),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 35),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 36),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 37),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 38),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 39),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 40),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 41),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 42),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 43),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 44),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 45),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 46),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 47),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 48),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
What is the role of the President of Cameroon? (variation 49),"The President is the Head of State, Commander-in-Chief of the armed forces, and presides over the Council of Ministers.",Executive Power,Varies,Cameroon Constitution / National Laws,1996
How is the Prime Minister chosen? (variation 50),The Prime Minister is appointed by the President to coordinate government action.,Executive Power,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 1),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 2),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 3),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 4),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 5),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 6),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 7),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 8),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 9),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 10),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 11),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 12),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 13),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 14),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 15),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 16),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 17),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 18),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 19),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 20),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 21),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 22),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 23),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 24),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 25),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 26),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 27),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 28),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 29),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 30),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 31),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 32),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 33),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 34),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 35),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 36),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 37),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 38),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 39),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 40),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 41),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 42),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 43),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 44),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
What does the Supreme Court do? (variation 45),The Supreme Court reviews judgments from lower courts and ensures legal uniformity.,Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 46),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 47),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 48),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 49),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who appoints judges in Cameroon? (variation 50),"Judges are appointed by presidential decree, often upon advice from the Higher Judicial Council.",Judiciary,Varies,Cameroon Constitution / National Laws,1996
Who can vote in Cameroon? (variation 1),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 2),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 3),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 4),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 5),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 6),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 7),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 8),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 9),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 10),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 11),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 12),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 13),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 14),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 15),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 16),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 17),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 18),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 19),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 20),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
